song_id,title,release,artist_name,Genre
178,Hello Hello,Pataakha,Rekha Bhardwaj,Dance
179,Bola Har Har Har,Shivaay,"Aaman Trikha, Badshah, Sukhwinder Singh",Devotional
180,Bolo Har Har Har,Shivaay,"Anugrah, Badshah, Megha Sriram Dalton, Mithoon, Mohit Chauhan, Sukhwinder Singh",Dance
181,Tera Mera Rishta,Jalebi,"KK, Shreya Ghoshal",Romantic
182,Gal Ban Gayi,Single,"Meet Bros, Neha Kakkar, Sukhbir Singh, Yo Yo Honey Singh",Dance
183,Bol Do Na Zara,Azhar,Armaan Malik,Romantic
184,Lakk Mera Hit,Sonu Ke Titu Ki Sweety,"Mannat Noor, Rochak Kohli, Sukriti Kakar",Dance
185,Sexy Baliye,Dil Chahta Hai,Mika Singh,Dance
186,Main Jahaan Rahoon,Namastey London,Rahat Fateh Ali Khan,Sad
187,Hasi Ban Gaye,Hamari Adhuri Kahani,Shreya Ghoshal,Romantic
188,Nachde Ne Saare,Baar Baar Dekho,"Harshdeep Kaur, Jasleen Royal, Siddharth Mahadevan",Dance
189,Manma Emotion Jaage,Dilwale,"Amit Mishra, Antara Mitra, Anushka Manchanda",DanceRomantic
190,Happy Happy,Blackmail,"Aastha Gill, Badshah",Bollywood
191,Tujhko Na Dekhun,Jaanwar,"Sunidhi Chauhan, Udit Narayan",Bollywood
192,Theher Ja,October,Armaan Malik,Romantic
193,Boond Boond,Hate Story 4,"Jubin Nautiyal, Neeti Mohan",Romantic
194,Adhura Lafz,Baazaar,"Pratibha Singh Baghel, Rahat Fateh Ali Khan",Romantic
195,Trippy Trippy,Bhoomi,"Badshah, Benny Dayal, Brijesh Shandilya, Neha Kakkar",Dance
196,Tukur Tukur,Dilwale,"Arijit Singh, Kanika Kapoor, Nakash Aziz, Neha Kakkar, Siddharth Mahadevan",Dance
197,Teri Khair Mangdi,Baar Baar Dekho,Bilal Saeed,Sad
198,Pinga,Bajirao Mastani,"Shreya Ghoshal, Vasihali Made",Dance
199,Haanikaarak,Dangal,Sarwar Khan,Bollywood
200,Tere Thumke Sapna Chaudhary,Nanu Ki Jaanu,"Gunwant Sen, Khushboo Jain, Saumya Upadhyay",Dance
201,Badnaamiyan,Hate Story 4,Armaan Malik,Romantic
202,Malhari,Bajirao Mastani,Vishal Dadlani,Dance
203,Piya More,Baadshaho,"Mika Singh, Neeti Mohan",Bollywood
204,High Heels Te Nachche,Ki & Ka,"Aditi Singh Sharma, Jaz Dhami, Meet Bros",Dance
205,Shake Karaan,Munna Michael,"Kanika Kapoor, Meet Bros",Dance
206,Thodi Der,Half Girlfriend,"Farhan Saeed, Shreya Ghoshal",Sad
207,Har Dil Jo Pyar Karega,Har Dil Jo Pyar Karega,"Alka Yagnik, Udit Narayan",Dance
208,Raabta,Raabta,Nikhita Gandhi,Romantic
209,Nach Meri Jaan,Tubelight,"Dev Negi, Kamaal khan, Nakash Aziz, Tushar Joshi",Dance
210,Janam Janam,Dilwale,"Antara Mitra, Arijit Singh",Romantic
